Vocab,Collocation 1,Collocation 2,Collocation 3
affair,a family affair,a state of affairs,current affairs
properly,the proper way to eat,proper meals,It is only right and proper that
global,global warming,global issues,domestic and global markets
appropriate,take appropriate action,an entirely appropriate remark,clothes appropriate for a job interview
favor,a personal favor,ask a favor,argue in favor of
adopt,adopt a policy,adopt an approach,adopt a child
whenever,whenever it rains,whenever possible,We can do it next week or whenever.
concept,a basic concept,define concepts,a theoretical concept
shadow,make a shadow,wait in the shadows,live in the shadow of
habit,annoying habits,be in the habit of,eating habits
pool,a swimming pool,a rock pool,a pool attendant
valley,a broad valley,a valley floor,a river valley
plain,make yourself plain,in plain English,the Great Plains
operate,operate manually,be battery operated,be easy to operate
fully,feel full,stuffed full of clothes,become full
professor,college professor,associate professor,be promoted to professor
ideal,less than ideal,a high ideal,pursue ideals
gently,ask in a gentle voice,after a little gentle persuasion,gentle with the baby
magic,practice magic,black magic,believe in magic
unlike,It's unlike her to be late.,is not unlike his brother,unlike most people in the office
northern,magnetic north,the frozen north,true north
pour,pour out of the room,pour coffee for everyone,It's pouring now.
bread,fresh bread,bread and butter,a slice of bread
gradually,gradual improvement,a gradual change in climate,gradual recovery from the disease
anger,bitter anger,be filled with anger,control anger
prince,the crown prince,the royal prince,the prince of comedy
desert,dry desert,turn into desert,desert heat
hell,go to hell,living hell,go through hell
pilot,an airline pilot,a pilot error,an experienced pilot
acid,concentrated acid,neutralize acid,citric acid
sharp,take a sharp left,razor sharp,use a sharp knife
literature,classical literature,a work of literature,read literature
gentleman,a perfect gentleman,a country gentleman,be no gentleman
loud,sound loud,deafeningly loud,loud and clear
crown,the world crown,the royal crown,fight for the crown
crash,a car crash,stock market crash,the crash of thunder
comment,a critical comment,make a comment,be unavailable to comment
studio,an art studio,a sound studio,a recording studio
naturally,natural disasters,natural resources,die of natural causes
profit,a large profit,increase profits,profit after tax
existence,a continued existence,establish the existence of,a hand-to-mouth existence
cream,whipped cream,beat cream,facial cream
warn,a firm warning,a storm warning,warning signs
excellent,consider excellent,be in excellent condition,absolutely excellent
hero,an all-time hero,a reluctant hero,give him a hero's welcome
ah,Ah there you are!,Ah well better luck next time.,Ah this is the life.
recover,completely recover,struggle to recover,recover from his operation
discovery,an amazing discovery,make a discovery,the process of discovery
iron,rusty iron,contain iron,run an iron over
specific,Can you be more specific?,for a specific purpose,be specific to this part of Japan
potential,great potential,show potential,true potential
trial,a criminal trial,stand trial,by trial and error
citizen,a naturalized citizen,a decent citizen,a senior citizen
responsible,be entirely responsible for,legally responsible,environmentally responsible
collection,an extensive collection,rubbish collection,a charity collection
sand,desert sand,a sand castle,a sand pit
